wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),bandwidth (nm)
225.8,0.04718746877436877,6.13437092397362E-4,1.0
225.9,0.04608543456986547,5.99110615439713E-4,1.0
226.0,0.04487516209787607,5.833770846948028E-4,1.0
226.1,0.04354874878598213,5.661337054334581E-4,1.0
226.2,0.04212079091522455,5.475702346302569E-4,1.0
226.3,0.04062970238060832,5.281860940158367E-4,1.0
226.4,0.03913364851287961,5.087374011054635E-4,1.0
226.5,0.03770401221966147,4.901521024294198E-4,1.0
226.6,0.03641674211729407,4.7341763274744153E-4,1.0
226.7,0.03534340094437837,4.5946420868858695E-4,1.0
226.8,0.034542963271061176,4.4905851245857775E-4,1.0
226.9,0.03405700002507091,4.42740973085165E-4,1.0
227.0,0.0339076304166913,4.407991946209222E-4,1.0
227.1,0.03409938019219994,4.4329193769954145E-4,1.0
227.2,0.03462243857269049,4.500916984397918E-4,1.0
227.3,0.03545740379376769,4.6094623394310474E-4,1.0
227.4,0.03657831026034236,4.755179979838431E-4,1.0
227.5,0.03795317803017497,4.933913005515933E-4,1.0
227.6,0.03954240432568431,5.140512366779149E-4,1.0
227.7,0.04129403797547221,5.368224810808897E-4,1.0
227.8,0.04314028270086408,5.608236533589661E-4,1.0
227.9,0.04499491953855872,5.849339650012553E-4,1.0
228.0,0.04675786255873561,6.078521837480366E-4,1.0
228.1,0.04832308141869307,6.282000103965402E-4,1.0
228.2,0.04959328755937815,6.447127088904381E-4,1.0
228.3,0.05049573935022354,6.564445793628693E-4,1.0
228.4,0.05099579934676051,6.629453273490071E-4,1.0
228.5,0.05110457710718036,6.643594824708998E-4,1.0
228.6,0.05087717084499479,6.614031735807657E-4,1.0
228.7,0.050401807636091714,6.552234990522265E-4,1.0
228.8,0.04978137078105927,6.471577798947692E-4,1.0
228.9,0.049111850059665445,6.384540465660393E-4,1.0
229.0,0.04846403893355012,6.30032503977418E-4,1.0
229.1,0.047872764668769836,6.223459495231509E-4,1.0
229.2,0.047336988241896624,6.153808208182454E-4,1.0
229.3,0.04683185301553845,6.088140653446317E-4,1.0
229.4,0.04632910554494262,6.022783345542848E-4,1.0
229.5,0.04581940460986734,5.956522654742002E-4,1.0
229.6,0.04532986472553849,5.892882472835481E-4,1.0
229.7,0.04492883165417433,5.840748199261725E-4,1.0
229.8,0.04471526238667846,5.812984309159219E-4,1.0
229.9,0.044794477932450776,5.823281826451421E-4,1.0
230.0,0.04524578375275254,5.881951656192541E-4,1.0
230.1,0.04609165871982336,5.991915822960436E-4,1.0
230.2,0.047278093596628906,6.146152154542506E-4,1.0
